PW_MODEL_PW2281S_20_6 ,,
Capacity=0.8114AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,1.599232316,2.882346154
1,1.754553914,2.614177704
2,1.84827435,2.446464538
3,1.912657976,2.194322586
4,1.959996104,2.258493424
5,1.997895718,2.235643386
6,2.028259516,2.16762352
7,2.05536747,2.12087822
8,2.078007936,2.33180809
9,2.099023342,2.29725647
10,2.117691278,2.181333542
11,2.135176898,2.170475006
12,2.151628256,2.125434876
13,2.16617608,2.153240204
14,2.179239274,2.139194488
15,2.19129777,2.116790772
16,2.203127146,2.063760758
17,2.214461804,1.969200134
18,2.22458291,1.95784378
19,2.234493256,1.950191498
20,2.243905306,1.953063964
21,2.252738,1.954553604
22,2.261166334,1.948289872
23,2.269577504,1.940279006
24,2.277787208,1.939836502
25,2.285817384,1.937374116
26,2.293955326,1.939630508
27,2.301531554,1.953201294
28,2.308926106,1.959968566
29,2.316132068,1.963329316
30,2.323575974,1.962003708
31,2.33029604,1.962179184
32,2.336664438,1.964227676
33,2.343239308,1.969667434
34,2.350257396,1.971601486
35,2.356585026,1.9734478
36,2.362665654,1.971448898
37,2.368416786,1.97095108
38,2.374083042,1.960617066
39,2.379825592,1.95498085
40,2.385608434,1.952785492
41,2.391422748,1.955926896
42,2.397484302,1.943109512
43,2.403039218,1.948654174
44,2.40888524,1.949020386
45,2.414771796,1.938423156
46,2.420883178,1.932460784
47,2.426726102,1.937782288
48,2.432685136,1.939359664
49,2.43881011,1.93629837
50,2.445054292,1.940612792
51,2.451557874,1.928020478
52,2.457815886,1.934148788
53,2.464241982,1.934131622
54,2.470731736,1.927036286
55,2.477022886,1.93252945
56,2.483136654,1.927146912
57,2.48918438,1.927253724
58,2.49541092,1.934402466
59,2.502122402,1.935310364
60,2.508357524,1.931777954
61,2.514729262,1.93119049
62,2.521224498,1.929401398
63,2.527891398,1.921424866
64,2.53469634,1.937397004
65,2.54171729,1.83267212
66,2.548843384,1.83523941
67,2.556461334,1.836257934
68,2.563938618,1.839221954
69,2.571562052,1.840236664
70,2.57923007,1.83374405
71,2.587311984,1.81919098
72,2.595322848,1.8344841
73,2.603709698,1.817695618
74,2.612400532,1.81539917
75,2.621102334,1.811283112
76,2.630155802,1.81400299
77,2.639109374,1.814624786
78,2.647958278,1.81418991
79,2.656986476,1.816978454
80,2.666496038,1.823070526
81,2.675330638,1.759284974
82,2.684273244,1.765651702
83,2.693356752,1.745521546
84,2.70322013,2.722576142
85,2.712845564,2.713294984
86,2.722701072,2.701084138
87,2.733128548,2.70015335
88,2.744896888,2.688472748
89,2.75730157,2.679649354
90,2.77110815,2.663574218
91,2.786454916,2.66273117
92,2.80429864,2.669857026
93,2.823331356,2.65485382
94,2.844564914,2.658557892
95,2.868743658,2.584148408
96,2.897739648,2.574546814
97,2.93031907,2.576221466
98,2.96974492,2.58908844
99,3.02139306,1.643363952
100,3.12839222,1.672569274
