PW_MODEL_PW2281S_20_6,,
Capacity=0.2125AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,2.359600067,460.3881836
1,2.413169861,440.4907227
2,2.454479218,422.5769043
3,2.488586426,401.9889832
4,2.517593384,379.8179627
5,2.54227829,359.6191406
6,2.56332016,343.0099487
7,2.58272171,322.2770691
8,2.599098206,306.6062927
9,2.613994598,287.1208191
10,2.625728607,275.6004334
11,2.637176514,264.5835877
12,2.649646759,246.8986511
13,2.661952972,228.1799316
14,2.674003601,208.770752
15,2.68497467,188.5147095
16,2.69537735,169.7845459
17,2.704998016,151.3252258
18,2.71383667,134.5291138
19,2.721469879,118.7591553
20,2.728057861,102.1156311
21,2.732593536,91.70532227
22,2.7371521,83.59527588
23,2.743808746,74.55062866
24,2.751052856,66.05911255
25,2.758331299,58.69293213
26,2.765514374,52.52456665
27,2.772129059,47.42431641
28,2.778522492,42.96875
29,2.782863617,39.54696655
30,2.785095215,37.54043579
31,2.786632538,35.67886353
32,2.787986755,34.25979614
33,2.788475037,33.53118897
34,2.791061401,32.42492676
35,2.794708252,31.19659424
36,2.798667908,29.95300293
37,2.802055359,28.98025513
38,2.805473328,27.92739868
39,2.808132172,27.77481079
40,2.810310364,27.3513794
41,2.812549591,26.76773071
42,2.815040588,24.66583252
43,2.817344666,24.31106567
44,2.819602966,24.11270142
45,2.822128296,23.98300171
46,2.824848175,23.96774292
47,2.827629089,23.82278442
48,2.830047607,23.73886108
49,2.832378388,23.69689941
50,2.8344841,23.79226685
51,2.836860657,23.78082275
52,2.839084625,23.81896973
53,2.841220856,23.89526367
54,2.843334198,24.03259277
55,2.845554352,24.29199219
56,2.848293304,24.23858643
57,2.850547791,24.40261841
58,2.853107452,24.39117432
59,2.855819702,24.39498901
60,2.858406067,24.37591553
61,2.861461639,24.44458008
62,2.864620209,23.98681641
63,2.865943909,23.67401123
64,2.865631104,23.61297607
65,2.864479065,23.56338501
66,2.863117218,24.09362793
67,2.863449097,24.2767334
68,2.863983154,24.75357056
69,2.866874695,24.78408814
70,2.87046814,24.47509766
71,2.872364044,24.08599854
72,2.873069763,24.02877808
73,2.87348938,24.10888672
74,2.873847961,23.96011353
75,2.873657227,23.96392822
76,2.873756409,23.77319336
77,2.873081207,23.89144898
78,2.873142242,23.54431152
79,2.871494293,23.89144898
80,2.871940613,23.83804321
81,2.872428894,23.49472046
82,2.874103546,23.16665649
83,2.8751297,22.97210693
84,2.876426697,22.51434326
85,2.876964569,22.37319946
86,2.879947662,21.36993408
87,2.88048172,20.87020874
88,2.882026672,20.45059204
89,2.881736755,19.70291138
90,2.87739563,20.16067505
91,2.876174927,20.03860474
92,2.874572754,19.8059082
93,2.873703003,19.44732666
94,2.872119904,19.17266846
95,2.870750427,19.02770996
96,2.866901398,18.93997192
97,2.869537354,17.4331665
98,2.880569458,16.06750488
99,2.923564911,14.66369629
100,3.282222748,13.16452026
