PW_MODEL_PW2281S_20_6,,
Capacity=0.916AH,,
SOC(%),Open Voltage(V),ESR(ohm)
0,0.95,0.273
1,1.054,0.244
2,1.075,0.241
3,1.085,0.24
4,1.091,0.239
5,1.096,0.239
6,1.1,0.238
7,1.105,0.237
8,1.109,0.236
9,1.113,0.235
10,1.117,0.235
11,1.12,0.234
12,1.124,0.234
13,1.127,0.233
14,1.13,0.232
15,1.132,0.232
16,1.135,0.232
17,1.137,0.231
18,1.139,0.231
19,1.142,0.231
20,1.144,0.23
21,1.146,0.23
22,1.147,0.23
23,1.149,0.229
24,1.151,0.229
25,1.153,0.229
26,1.154,0.229
27,1.156,0.229
28,1.157,0.228
29,1.159,0.228
30,1.16,0.228
31,1.162,0.228
32,1.163,0.228
33,1.164,0.228
34,1.166,0.228
35,1.167,0.227
36,1.168,0.227
37,1.169,0.227
38,1.17,0.227
39,1.171,0.227
40,1.172,0.227
41,1.173,0.227
42,1.174,0.227
43,1.175,0.227
44,1.176,0.226
45,1.177,0.226
46,1.178,0.226
47,1.179,0.226
48,1.179,0.226
49,1.18,0.226
50,1.181,0.226
51,1.182,0.226
52,1.183,0.225
53,1.184,0.225
54,1.184,0.225
55,1.185,0.225
56,1.186,0.225
57,1.187,0.224
58,1.188,0.224
59,1.189,0.224
60,1.19,0.224
61,1.191,0.224
62,1.192,0.224
63,1.193,0.224
64,1.194,0.224
65,1.195,0.224
66,1.196,0.224
67,1.197,0.224
68,1.199,0.224
69,1.2,0.224
70,1.201,0.223
71,1.202,0.223
72,1.204,0.223
73,1.205,0.223
74,1.207,0.223
75,1.208,0.223
76,1.21,0.223
77,1.212,0.223
78,1.214,0.223
79,1.216,0.223
80,1.218,0.223
81,1.221,0.223
82,1.223,0.223
83,1.226,0.223
84,1.229,0.223
85,1.233,0.223
86,1.236,0.224
87,1.241,0.224
88,1.245,0.224
89,1.25,0.224
90,1.255,0.224
91,1.261,0.225
92,1.267,0.225
93,1.272,0.225
94,1.278,0.226
95,1.283,0.226
96,1.286,0.226
97,1.289,0.225
98,1.291,0.225
99,1.292,0.225
100,1.293,0.225
